日付,部署,担当者,商品,数量,単価,金額
2024/03/08,営業部,佐藤一郎,商品B,25,50000,1250000
2024/03/09,開発部,高橋美咲,商品A,12,15000,180000
2024/03/09,総務部,高橋美咲,商品C,4,30000,120000
2024/03/09,営業部,田中太郎,商品D,4,10000,40000
2024/03/09,マーケティング部,伊藤健太,商品A,5,20000,100000
2024/03/10,営業部,伊藤健太,商品E,24,10000,240000
2024/03/10,マーケティング部,田中太郎,商品B,7,50000,350000
2024/03/10,営業部,鈴木花子,商品A,6,20000,120000
2024/03/10,営業部,渡辺直美,商品B,23,20000,460000
2024/03/10,営業部,渡辺直美,商品A,1,15000,15000
2024/03/11,マーケティング部,田中太郎,商品C,13,10000,130000
2024/03/11,マーケティング部,高橋美咲,商品A,22,10000,220000
2024/03/11,開発部,渡辺直美,商品C,8,15000,120000
2024/03/11,開発部,高橋美咲,商品C,3,30000,90000
2024/03/11,営業部,渡辺直美,商品B,23,50000,1150000
2024/03/11,営業部,田中太郎,商品A,10,20000,200000
2024/03/11,総務部,高橋美咲,商品C,15,15000,225000
2024/03/11,開発部,渡辺直美,商品B,16,15000,240000
2024/03/12,営業部,伊藤健太,商品A,2,30000,60000
2024/03/12,開発部,高橋美咲,商品D,4,50000,200000
2024/03/12,総務部,田中太郎,商品B,3,10000,30000
2024/03/12,営業部,高橋美咲,商品B,17,20000,340000
2024/03/12,開発部,高橋美咲,商品D,11,5000,55000
2024/03/12,営業部,佐藤一郎,商品B,2,20000,40000
2024/03/13,開発部,伊藤健太,商品B,25,5000,125000
2024/03/13,開発部,渡辺直美,商品C,10,15000,150000
2024/03/13,営業部,高橋美咲,商品A,21,5000,105000
2024/03/13,総務部,渡辺直美,商品E,8,30000,240000
2024/03/13,開発部,渡辺直美,商品D,18,5000,90000
2024/03/13,開発部,伊藤健太,商品C,21,20000,420000
2024/03/13,開発部,渡辺直美,商品A,13,30000,390000
2024/03/14,営業部,田中太郎,商品E,2,5000,10000
2024/03/14,開発部,佐藤一郎,商品D,6,30000,180000
2024/03/14,営業部,鈴木花子,商品B,1,15000,15000
2024/03/14,営業部,渡辺直美,商品B,3,50000,150000
2024/03/14,開発部,伊藤健太,商品E,14,5000,70000
2024/03/14,総務部,渡辺直美,商品E,5,15000,75000
2024/03/14,営業部,渡辺直美,商品E,7,20000,140000
2024/03/14,開発部,伊藤健太,商品D,14,10000,140000
2024/03/14,開発部,高橋美咲,商品D,16,10000,160000
2024/03/15,総務部,佐藤一郎,商品C,19,50000,950000
2024/03/15,営業部,高橋美咲,商品D,19,5000,95000
2024/03/15,マーケティング部,高橋美咲,商品D,3,50000,150000
2024/03/15,開発部,渡辺直美,商品B,10,50000,500000
2024/03/15,開発部,高橋美咲,商品B,23,10000,230000
2024/03/16,営業部,鈴木花子,商品C,23,10000,230000
2024/03/16,総務部,佐藤一郎,商品B,12,15000,180000
2024/03/16,営業部,伊藤健太,商品A,17,5000,85000
2024/03/16,開発部,渡辺直美,商品B,18,10000,180000
2024/03/16,営業部,鈴木花子,商品C,15,30000,450000
2024/03/16,営業部,高橋美咲,商品A,24,5000,120000
2024/03/17,総務部,伊藤健太,商品C,1,30000,30000
2024/03/17,営業部,鈴木花子,商品E,17,15000,255000
2024/03/17,営業部,高橋美咲,商品B,5,15000,75000
2024/03/18,開発部,鈴木花子,商品E,15,15000,225000
2024/03/18,開発部,佐藤一郎,商品A,13,15000,195000
2024/03/18,開発部,高橋美咲,商品B,9,10000,90000
2024/03/18,マーケティング部,伊藤健太,商品D,10,10000,100000
2024/03/18,開発部,渡辺直美,商品C,9,20000,180000
2024/03/18,営業部,伊藤健太,商品D,15,10000,150000
2024/03/18,営業部,渡辺直美,商品C,10,30000,300000
2024/03/19,開発部,佐藤一郎,商品C,15,50000,750000
2024/03/19,営業部,渡辺直美,商品C,23,10000,230000
2024/03/19,マーケティング部,田中太郎,商品E,2,10000,20000
2024/03/19,営業部,佐藤一郎,商品D,15,50000,750000
2024/03/19,開発部,鈴木花子,商品C,1,20000,20000
2024/03/19,開発部,田中太郎,商品B,7,15000,105000
2024/03/19,営業部,渡辺直美,商品A,24,20000,480000
2024/03/20,営業部,渡辺直美,商品E,16,30000,480000
2024/03/20,開発部,田中太郎,商品B,24,5000,120000
2024/03/20,開発部,田中太郎,商品B,25,30000,750000
2024/03/20,開発部,伊藤健太,商品D,22,20000,440000
2024/03/20,営業部,渡辺直美,商品D,25,15000,375000
2024/03/20,営業部,田中太郎,商品C,12,20000,240000
2024/03/20,営業部,渡辺直美,商品C,20,30000,600000
2024/03/21,営業部,鈴木花子,商品A,24,15000,360000
2024/03/21,マーケティング部,佐藤一郎,商品C,20,10000,200000
2024/03/21,開発部,伊藤健太,商品D,2,15000,30000
2024/03/21,開発部,伊藤健太,商品B,11,20000,220000
2024/03/21,営業部,鈴木花子,商品B,17,10000,170000
2024/03/21,開発部,伊藤健太,商品B,7,10000,70000
2024/03/21,開発部,佐藤一郎,商品A,18,20000,360000
2024/03/21,総務部,高橋美咲,商品A,4,10000,40000
2024/03/21,営業部,渡辺直美,商品B,14,50000,700000
2024/03/22,開発部,渡辺直美,商品C,23,5000,115000
2024/03/22,総務部,高橋美咲,商品E,13,10000,130000
2024/03/22,営業部,佐藤一郎,商品A,7,30000,210000
2024/03/22,マーケティング部,伊藤健太,商品C,20,20000,400000
2024/03/23,開発部,田中太郎,商品E,15,5000,75000
2024/03/23,営業部,鈴木花子,商品E,11,15000,165000
2024/03/23,営業部,高橋美咲,商品D,21,15000,315000
2024/03/23,営業部,田中太郎,商品D,23,10000,230000
2024/03/24,総務部,田中太郎,商品B,14,10000,140000
2024/03/24,マーケティング部,田中太郎,商品A,10,20000,200000
2024/03/24,総務部,田中太郎,商品C,13,50000,650000
2024/03/24,開発部,鈴木花子,商品D,7,15000,105000
2024/03/24,総務部,鈴木花子,商品B,24,30000,720000
2024/03/24,総務部,鈴木花子,商品C,2,20000,40000
2024/03/24,営業部,佐藤一郎,商品D,16,15000,240000
2024/03/25,営業部,伊藤健太,商品B,14,50000,700000
2024/03/25,マーケティング部,佐藤一郎,商品C,21,5000,105000
2024/03/25,開発部,渡辺直美,商品D,12,20000,240000
2024/03/25,営業部,渡辺直美,商品D,20,5000,100000
2024/03/25,総務部,田中太郎,商品E,4,30000,120000
2024/03/25,総務部,伊藤健太,商品E,4,30000,120000
2024/03/25,総務部,伊藤健太,商品B,14,5000,70000
2024/03/26,営業部,渡辺直美,商品B,6,30000,180000
2024/03/26,開発部,鈴木花子,商品B,22,30000,660000
2024/03/26,開発部,田中太郎,商品E,14,20000,280000
2024/03/26,マーケティング部,高橋美咲,商品B,12,30000,360000
2024/03/26,営業部,高橋美咲,商品A,10,20000,200000
2024/03/26,営業部,高橋美咲,商品E,16,30000,480000
2024/03/26,マーケティング部,渡辺直美,商品E,20,50000,1000000
2024/03/26,開発部,鈴木花子,商品B,21,50000,1050000
2024/03/26,営業部,佐藤一郎,商品E,9,30000,270000
2024/03/27,営業部,鈴木花子,商品E,3,5000,15000
2024/03/27,総務部,渡辺直美,商品A,25,5000,125000
2024/03/27,開発部,高橋美咲,商品B,4,5000,20000
2024/03/27,営業部,高橋美咲,商品A,12,20000,240000
2024/03/27,総務部,渡辺直美,商品A,3,20000,60000
2024/03/27,開発部,高橋美咲,商品D,5,50000,250000
2024/03/27,営業部,伊藤健太,商品E,21,20000,420000
2024/03/27,営業部,伊藤健太,商品E,5,30000,150000
2024/03/28,開発部,高橋美咲,商品D,17,15000,255000
2024/03/28,総務部,伊藤健太,商品D,17,50000,850000
2024/03/28,開発部,佐藤一郎,商品A,2,5000,10000
2024/03/29,開発部,伊藤健太,商品E,5,10000,50000
2024/03/29,営業部,渡辺直美,商品E,8,20000,160000
2024/03/29,開発部,鈴木花子,商品C,3,50000,150000
2024/03/30,マーケティング部,高橋美咲,商品D,21,10000,210000
2024/03/30,総務部,渡辺直美,商品E,8,30000,240000
2024/03/30,マーケティング部,高橋美咲,商品D,6,50000,300000
2024/03/30,開発部,佐藤一郎,商品D,6,10000,60000
2024/03/30,営業部,鈴木花子,商品C,6,50000,300000
2024/03/30,営業部,佐藤一郎,商品B,23,10000,230000
2024/03/31,マーケティング部,佐藤一郎,商品A,1,15000,15000
2024/03/31,開発部,伊藤健太,商品B,21,15000,315000
2024/03/31,開発部,高橋美咲,商品E,11,50000,550000
2024/03/31,総務部,渡辺直美,商品D,15,10000,150000
2024/03/31,開発部,佐藤一郎,商品A,21,15000,315000
2024/03/31,営業部,鈴木花子,商品E,22,20000,440000
2024/03/31,営業部,渡辺直美,商品D,20,30000,600000
2024/03/31,総務部,田中太郎,商品A,4,15000,60000
