日付,部署,担当者,商品,数量,単価,金額
2024/02/07,営業部,伊藤健太,商品C,18,50000,900000
2024/02/08,開発部,高橋美咲,商品E,3,20000,60000
2024/02/08,総務部,佐藤一郎,商品C,13,30000,390000
2024/02/08,営業部,渡辺直美,商品A,7,5000,35000
2024/02/09,開発部,高橋美咲,商品D,20,20000,400000
2024/02/09,開発部,田中太郎,商品A,22,50000,1100000
2024/02/09,総務部,渡辺直美,商品D,7,30000,210000
2024/02/10,営業部,伊藤健太,商品E,7,10000,70000
2024/02/10,総務部,伊藤健太,商品E,3,5000,15000
2024/02/10,営業部,田中太郎,商品D,24,20000,480000
2024/02/10,開発部,渡辺直美,商品C,5,50000,250000
2024/02/10,総務部,高橋美咲,商品B,18,10000,180000
2024/02/10,マーケティング部,高橋美咲,商品B,12,50000,600000
2024/02/10,営業部,田中太郎,商品C,22,15000,330000
2024/02/10,開発部,渡辺直美,商品D,6,50000,300000
2024/02/10,開発部,高橋美咲,商品B,4,10000,40000
2024/02/10,営業部,佐藤一郎,商品B,12,30000,360000
2024/02/10,開発部,佐藤一郎,商品D,8,50000,400000
2024/02/10,開発部,田中太郎,商品C,11,50000,550000
2024/02/10,総務部,渡辺直美,商品B,23,50000,1150000
2024/02/10,営業部,渡辺直美,商品E,13,20000,260000
2024/02/11,開発部,田中太郎,商品B,9,30000,270000
2024/02/11,開発部,高橋美咲,商品D,22,30000,660000
2024/02/11,マーケティング部,佐藤一郎,商品C,13,10000,130000
2024/02/11,総務部,伊藤健太,商品D,5,30000,150000
2024/02/12,総務部,伊藤健太,商品A,19,30000,570000
2024/02/12,開発部,渡辺直美,商品B,25,50000,1250000
2024/02/12,営業部,伊藤健太,商品E,6,10000,60000
2024/02/12,総務部,佐藤一郎,商品A,13,5000,65000
2024/02/13,開発部,田中太郎,商品C,14,15000,210000
2024/02/13,営業部,佐藤一郎,商品B,20,20000,400000
2024/02/13,営業部,渡辺直美,商品E,5,15000,75000
2024/02/13,マーケティング部,伊藤健太,商品D,9,5000,45000
2024/02/13,営業部,渡辺直美,商品B,1,10000,10000
2024/02/13,営業部,佐藤一郎,商品B,4,5000,20000
2024/02/13,営業部,田中太郎,商品A,6,20000,120000
2024/02/13,開発部,伊藤健太,商品C,20,50000,1000000
2024/02/13,開発部,田中太郎,商品A,5,50000,250000
2024/02/13,マーケティング部,渡辺直美,商品C,19,15000,285000
2024/02/14,開発部,鈴木花子,商品D,11,20000,220000
2024/02/14,営業部,伊藤健太,商品A,12,20000,240000
2024/02/14,開発部,渡辺直美,商品D,10,5000,50000
2024/02/14,総務部,渡辺直美,商品E,2,50000,100000
2024/02/14,営業部,伊藤健太,商品C,8,20000,160000
2024/02/14,開発部,伊藤健太,商品D,3,5000,15000
2024/02/14,開発部,田中太郎,商品A,17,10000,170000
2024/02/14,開発部,田中太郎,商品D,21,30000,630000
2024/02/14,開発部,鈴木花子,商品C,20,10000,200000
2024/02/14,開発部,伊藤健太,商品D,24,50000,1200000
2024/02/15,営業部,佐藤一郎,商品A,17,50000,850000
2024/02/15,営業部,佐藤一郎,商品B,15,30000,450000
2024/02/15,マーケティング部,高橋美咲,商品B,5,5000,25000
2024/02/15,営業部,田中太郎,商品C,20,20000,400000
2024/02/15,総務部,伊藤健太,商品B,17,15000,255000
2024/02/15,営業部,高橋美咲,商品B,5,5000,25000
2024/02/15,マーケティング部,鈴木花子,商品E,12,5000,60000
2024/02/15,営業部,鈴木花子,商品D,23,10000,230000
2024/02/16,開発部,佐藤一郎,商品E,9,5000,45000
2024/02/16,開発部,高橋美咲,商品E,3,10000,30000
2024/02/16,営業部,佐藤一郎,商品E,24,15000,360000
2024/02/17,営業部,伊藤健太,商品E,14,5000,70000
2024/02/17,開発部,佐藤一郎,商品C,10,20000,200000
2024/02/17,開発部,鈴木花子,商品B,20,10000,200000
2024/02/17,開発部,渡辺直美,商品B,10,20000,200000
2024/02/17,総務部,伊藤健太,商品D,23,30000,690000
2024/02/17,開発部,伊藤健太,商品D,5,50000,250000
2024/02/18,営業部,鈴木花子,商品A,22,5000,110000
2024/02/18,営業部,田中太郎,商品D,12,50000,600000
2024/02/18,マーケティング部,伊藤健太,商品E,14,5000,70000
2024/02/18,開発部,伊藤健太,商品E,1,20000,20000
2024/02/18,開発部,佐藤一郎,商品B,23,50000,1150000
2024/02/18,開発部,高橋美咲,商品E,5,30000,150000
2024/02/18,営業部,渡辺直美,商品C,20,30000,600000
2024/02/18,マーケティング部,鈴木花子,商品B,20,30000,600000
2024/02/18,営業部,佐藤一郎,商品C,20,20000,400000
2024/02/19,マーケティング部,高橋美咲,商品C,25,20000,500000
2024/02/19,開発部,佐藤一郎,商品E,10,5000,50000
2024/02/19,営業部,田中太郎,商品E,16,10000,160000
2024/02/20,営業部,渡辺直美,商品C,5,20000,100000
2024/02/20,開発部,高橋美咲,商品D,19,30000,570000
2024/02/20,営業部,田中太郎,商品D,12,15000,180000
2024/02/21,開発部,田中太郎,商品A,11,10000,110000
2024/02/21,マーケティング部,田中太郎,商品D,13,20000,260000
2024/02/21,開発部,渡辺直美,商品C,13,30000,390000
2024/02/21,営業部,佐藤一郎,商品A,18,50000,900000
2024/02/21,営業部,鈴木花子,商品B,2,15000,30000
2024/02/21,営業部,高橋美咲,商品C,21,30000,630000
2024/02/22,営業部,渡辺直美,商品D,3,5000,15000
2024/02/22,営業部,鈴木花子,商品D,3,5000,15000
2024/02/22,開発部,田中太郎,商品C,18,15000,270000
2024/02/22,総務部,佐藤一郎,商品A,6,15000,90000
2024/02/22,営業部,鈴木花子,商品D,20,5000,100000
2024/02/22,開発部,佐藤一郎,商品A,12,15000,180000
2024/02/22,開発部,伊藤健太,商品C,3,30000,90000
2024/02/22,開発部,伊藤健太,商品C,5,5000,25000
2024/02/22,開発部,高橋美咲,商品C,6,20000,120000
2024/02/23,総務部,佐藤一郎,商品C,1,10000,10000
2024/02/23,開発部,鈴木花子,商品E,23,5000,115000
2024/02/23,総務部,渡辺直美,商品E,3,50000,150000
2024/02/23,総務部,高橋美咲,商品A,10,10000,100000
2024/02/23,開発部,佐藤一郎,商品E,8,5000,40000
2024/02/23,営業部,高橋美咲,商品C,24,20000,480000
2024/02/24,営業部,高橋美咲,商品C,17,30000,510000
2024/02/24,開発部,田中太郎,商品A,24,30000,720000
2024/02/24,営業部,田中太郎,商品C,8,50000,400000
2024/02/24,開発部,高橋美咲,商品E,6,30000,180000
2024/02/24,営業部,伊藤健太,商品D,18,5000,90000
2024/02/25,開発部,渡辺直美,商品A,10,30000,300000
2024/02/25,総務部,伊藤健太,商品E,1,30000,30000
2024/02/25,開発部,渡辺直美,商品E,21,50000,1050000
2024/02/25,営業部,高橋美咲,商品E,5,20000,100000
2024/02/25,営業部,佐藤一郎,商品A,2,10000,20000
2024/02/25,開発部,佐藤一郎,商品C,25,5000,125000
2024/02/25,開発部,渡辺直美,商品B,25,30000,750000
2024/02/25,営業部,伊藤健太,商品A,11,10000,110000
2024/02/26,マーケティング部,田中太郎,商品C,5,10000,50000
2024/02/26,マーケティング部,渡辺直美,商品E,10,20000,200000
2024/02/26,総務部,渡辺直美,商品E,24,10000,240000
2024/02/26,総務部,田中太郎,商品D,19,50000,950000
2024/02/27,営業部,高橋美咲,商品A,24,50000,1200000
2024/02/27,開発部,佐藤一郎,商品A,13,50000,650000
2024/02/27,開発部,佐藤一郎,商品A,14,5000,70000
2024/02/27,総務部,伊藤健太,商品A,22,15000,330000
2024/02/27,開発部,鈴木花子,商品D,15,30000,450000
2024/02/27,マーケティング部,伊藤健太,商品E,1,50000,50000
2024/02/27,営業部,鈴木花子,商品C,2,15000,30000
2024/02/28,営業部,渡辺直美,商品D,3,10000,30000
2024/02/28,営業部,佐藤一郎,商品B,11,10000,110000
2024/02/28,営業部,渡辺直美,商品D,12,30000,360000
2024/02/28,開発部,渡辺直美,商品D,12,15000,180000
2024/02/28,開発部,佐藤一郎,商品A,12,20000,240000
2024/02/28,開発部,高橋美咲,商品A,5,5000,25000
2024/02/28,営業部,鈴木花子,商品D,3,50000,150000
2024/02/28,マーケティング部,渡辺直美,商品C,23,5000,115000
2024/02/28,マーケティング部,佐藤一郎,商品E,24,15000,360000
2024/02/29,総務部,佐藤一郎,商品B,8,5000,40000
2024/02/29,総務部,鈴木花子,商品E,13,10000,130000
2024/02/29,開発部,高橋美咲,商品D,11,10000,110000
2024/02/29,営業部,佐藤一郎,商品D,23,50000,1150000
2024/02/29,営業部,田中太郎,商品C,7,50000,350000
2024/02/29,営業部,田中太郎,商品A,13,30000,390000
2024/02/29,開発部,佐藤一郎,商品E,11,10000,110000
